Jobs__id,Jobs__name,Jobs__media_id,Jobs__job_category_id,Jobs__job_type_id,Jobs__description,Jobs__detail,Jobs__business_skill,Jobs__knowledge,Jobs__location,Jobs__activity,Jobs__academic_degree_doctor,Jobs__academic_degree_master,Jobs__academic_degree_professional,Jobs__academic_degree_bachelor,Jobs__salary_statistic_group,Jobs__salary_range_first_year,Jobs__salary_range_average,Jobs__salary_range_remarks,Jobs__restriction,Jobs__estimated_total_workers,Jobs__remarks,Jobs__url,Jobs__seo_description,Jobs__seo_keywords,Jobs__sort_order,Jobs__publish_status,Jobs__version,Jobs__created_by,Jobs__created,Jobs__modified,Jobs__deleted,JobCategories__id,JobCategories__name,JobCategories__sort_order,JobCategories__created_by,JobCategories__created,JobCategories__modified,JobCategories__deleted,JobTypes__id,JobTypes__name,JobTypes__job_category_id,JobTypes__sort_order,JobTypes__created_by,JobTypes__created,JobTypes__modified,JobTypes__deleted
99830,キャビンアテンダント 99830,99830,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,480,経験で変動,健康条件あり,12830,人気職種,https://example.com/jobs/99830,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99820,キャビンアテンダント 99820,99820,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,1,0,航空業界,350,450,経験で変動,健康条件あり,12820,人気職種,https://example.com/jobs/99820,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99810,キャビンアテンダント 99810,99810,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,490,経験で変動,健康条件あり,12810,人気職種,https://example.com/jobs/99810,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99800,キャビンアテンダント 99800,99800,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,460,経験で変動,健康条件あり,12800,人気職種,https://example.com/jobs/99800,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99790,キャビンアテンダント 99790,99790,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,500,経験で変動,健康条件あり,12790,人気職種,https://example.com/jobs/99790,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99780,キャビンアテンダント 99780,99780,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,470,経験で変動,健康条件あり,12780,人気職種,https://example.com/jobs/99780,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99770,キャビンアテンダント 99770,99770,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,510,経験で変動,健康条件あり,12770,人気職種,https://example.com/jobs/99770,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99760,キャビンアテンダント 99760,99760,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,480,経験で変動,健康条件あり,12760,人気職種,https://example.com/jobs/99760,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99750,キャビンアテンダント 99750,99750,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,1,1,航空業界,350,450,経験で変動,健康条件あり,12750,人気職種,https://example.com/jobs/99750,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99740,キャビンアテンダント 99740,99740,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,490,経験で変動,健康条件あり,12740,人気職種,https://example.com/jobs/99740,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99730,キャビンアテンダント 99730,99730,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,460,経験で変動,健康条件あり,12730,人気職種,https://example.com/jobs/99730,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99720,キャビンアテンダント 99720,99720,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,500,経験で変動,健康条件あり,12720,人気職種,https://example.com/jobs/99720,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99710,キャビンアテンダント 99710,99710,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,470,経験で変動,健康条件あり,12710,人気職種,https://example.com/jobs/99710,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99700,キャビンアテンダント 99700,99700,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,510,経験で変動,健康条件あり,12700,人気職種,https://example.com/jobs/99700,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99690,キャビンアテンダント 99690,99690,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,480,経験で変動,健康条件あり,12690,人気職種,https://example.com/jobs/99690,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99680,キャビンアテンダント 99680,99680,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,1,0,航空業界,350,450,経験で変動,健康条件あり,12680,人気職種,https://example.com/jobs/99680,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99670,キャビンアテンダント 99670,99670,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,490,経験で変動,健康条件あり,12670,人気職種,https://example.com/jobs/99670,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99660,キャビンアテンダント 99660,99660,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,460,経験で変動,健康条件あり,12660,人気職種,https://example.com/jobs/99660,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99650,キャビンアテンダント 99650,99650,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,500,経験で変動,健康条件あり,12650,人気職種,https://example.com/jobs/99650,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99640,キャビンアテンダント 99640,99640,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,470,経験で変動,健康条件あり,12640,人気職種,https://example.com/jobs/99640,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99630,キャビンアテンダント 99630,99630,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,510,経験で変動,健康条件あり,12630,人気職種,https://example.com/jobs/99630,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99620,キャビンアテンダント 99620,99620,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,480,経験で変動,健康条件あり,12620,人気職種,https://example.com/jobs/99620,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99610,キャビンアテンダント 99610,99610,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,1,0,航空業界,350,450,経験で変動,健康条件あり,12610,人気職種,https://example.com/jobs/99610,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99600,キャビンアテンダント 99600,99600,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,1,航空業界,350,490,経験で変動,健康条件あり,12600,人気職種,https://example.com/jobs/99600,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99590,キャビンアテンダント 99590,99590,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,460,経験で変動,健康条件あり,12590,人気職種,https://example.com/jobs/99590,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99580,キャビンアテンダント 99580,99580,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,500,経験で変動,健康条件あり,12580,人気職種,https://example.com/jobs/99580,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99570,キャビンアテンダント 99570,99570,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,1,航空業界,350,470,経験で変動,健康条件あり,12570,人気職種,https://example.com/jobs/99570,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99560,キャビンアテンダント 99560,99560,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,1,1,0,0,航空業界,350,510,経験で変動,健康条件あり,12560,人気職種,https://example.com/jobs/99560,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
99550,キャビンアテンダント 99550,99550,1,1,客室乗務員の仕事,安全とサービス,接客・安全管理,航空保安,日本国内/国際線,機内サービス,0,1,0,0,航空業界,350,480,経験で変動,健康条件あり,12550,人気職種,https://example.com/jobs/99550,キャビンアテンダントの仕事概要,キャビンアテンダント,航空,100,1,1,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,航空・運輸,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL,1,キャビンアテンダント,1,10,1,2024-01-01 09:00:00,2025-06-01 12:00:00,NULL
